,Animal Name,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,was_outcome_alive,Intake_Date_dt,Outcome_Date_dt,days_in_shelter
10670,,ORG TABBY,WHITE,Male,2020-08-23,2.0,2020-10-07,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-08,"50 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FNDANIFOUN,1,2020-10-07,2020-10-08,1 days
10671,,BRN TABBY,WHITE,Female,2020-08-23,2.0,2020-10-07,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-08,"50 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FNDANIFOUN,1,2020-10-07,2020-10-08,1 days
10672,*,ORANGE,WHITE,Male,2020-03-09,3.0,2020-10-09,NORMAL,STRAY,OTC,,2020-10-13,"130 BLK ELM AVE, LONG BEACH CA 90802",LONG BEACH,TRANSFER,SPCALA,1,2020-10-09,2020-10-13,4 days
10673,*MERLIN,BRN TABBY,WHITE,Male,2020-08-21,2.0,2020-10-11,UNDER AGE/WEIGHT,STRAY,ABAN SHLTR,,2020-10-14,"7700 E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,RESCUE,CATPAWS,1,2020-10-11,2020-10-14,3 days
10674,,BLACK,,Male,2020-09-18,2.0,2020-10-11,UNDER AGE/WEIGHT,STRAY,FIELD,,2020-10-12,"13000 MOZART WAY, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2020-10-11,2020-10-12,1 days
10675,KALI,CALICO,,Spayed,2020-08-30,2.0,2020-10-14,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-18,"500 BLK LOCUST AVE, LONG BEACH, CA 90805",LONG BEACH,FOSTER TO ADOPT,,1,2020-10-14,2020-10-18,4 days
10676,*,GRAY,WHITE,Male,2020-09-14,2.0,2020-10-14,ILL MILD,STRAY,OTC,,2020-10-15,"7100 BLK E WARDLOW RD, LONG BEACH, CA 90808",LONG BEACH,RESCUE,FNDANIFOUN,1,2020-10-14,2020-10-15,1 days
10677,*LIBERTY,BLACK,,Spayed,2020-09-16,2.0,2020-10-16,NORMAL,STRAY,OTC,,2020-11-11,"3400 BLK STEVELY AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WEB,1,2020-10-16,2020-11-11,26 days
10678,OPAL/*MARBLE,CALICO DIL,GRAY TABBY,Female,2014-10-17,8.0,2020-10-16,NORMAL,WELFARE SEIZED,EVICTION,,2020-11-03,"4900 LOS COYOTES DIAGNOAL, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,1,2020-10-16,2020-11-03,18 days
10679,*BOOGIE,ORANGE,WHITE,Neutered,2020-06-16,2.0,2020-10-16,NORMAL,STRAY,FIELD,,2020-11-04,"100 BLK E MARKET, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,1,2020-10-16,2020-11-04,19 days
10680,,BRN TABBY,,Female,2020-09-29,2.0,2020-10-17,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-23,"1100 BLK ROSE AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,FNDANIFOUN,1,2020-10-17,2020-10-23,6 days
10681,A650268,CALICO TAB,,Spayed,2019-10-18,3.0,2020-10-20,NORMAL,RETURN,RTF,,2020-10-26,"4300 GRAYWOOD AVE, LONG BEACH, CA 90808",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-10-20,2020-10-26,6 days
10682,,ORG TABBY,,Unknown,2020-09-09,2.0,2020-10-18,UNDER AGE/WEIGHT,STRAY,FIELD,,2020-10-18,"5400 BLK N PARAMOUNT BLVD, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,1,2020-10-18,2020-10-18,0 days
10683,*JACK,GRAY TABBY,,Neutered,2020-08-06,2.0,2020-10-21,NORMAL,STRAY,TRAP,,2020-10-29,"6000 BLK LEWIS AVE, LONG BEACH CA 90805",LONG BEACH,ADOPTION,WEB,1,2020-10-21,2020-10-29,8 days
10684,*FABI,BLACK,,Female,2020-08-24,2.0,2020-10-24,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-29,"3900 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,CATPAWS,1,2020-10-24,2020-10-29,5 days
10685,*BOUGIE,GRAY,CALICO,Spayed,2020-07-24,2.0,2020-10-24,NORMAL,STRAY,OTC,,2020-11-04,"3200 BLK MONOGRAM AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WEB,1,2020-10-24,2020-11-04,11 days
10686,*CHEVY,BLACK,,Male,2020-09-24,2.0,2020-10-24,UNDER AGE/WEIGHT,STRAY,FIELD,,2020-10-29,"19000 BLK VICKIE AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,CATPAWS,1,2020-10-24,2020-10-29,5 days
10687,,GRAY,WHITE,Male,2020-10-10,2.0,2020-10-24,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-25,"1100 BLK N LOMA VISTA DR, LONG BEACH, CA 90813",LONG BEACH,RESCUE,APAWSITIVE,1,2020-10-24,2020-10-25,1 days
10688,*ONZX,BLACK,,Neutered,2011-10-25,11.0,2020-10-25,NORMAL,STRAY,FIELD,,2021-01-23,"400 BLK E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,1,2020-10-25,2021-01-23,90 days
10689,,BRN TABBY,,Female,2020-09-25,2.0,2020-10-25,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-27,"1000 BLK CERRITOS AVE, LONG BEACH CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-10-25,2020-10-27,2 days
10690,,ORANGE,WHITE,Male,2020-10-18,2.0,2020-10-25,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-25,"1000 BLK MYRTLE AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,1,2020-10-25,2020-10-25,0 days
10691,A650506,BLACK,,Spayed,,,2020-10-25,NORMAL,STRAY,TRAP,,2020-10-28,"13000 BLK ALCARE PLACE, CERRITOS CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-10-25,2020-10-28,3 days
10692,,GRAY TABBY,,Female,2020-08-25,2.0,2020-10-25,NORMAL,STRAY,OTC,,2020-10-27,"18000 BLK GODINHO AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2020-10-25,2020-10-27,2 days
10693,,GRAY,,Male,2020-10-04,2.0,2020-10-25,UNDER AGE/WEIGHT,STRAY,OTC,,2020-10-26,"7000 BLK CARSON BLVD, LONG BEACH, CA 90808",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-10-25,2020-10-26,1 days
10694,*CINDY CRAWFORD,BLACK,WHITE,Spayed,2018-10-28,4.0,2020-10-29,NORMAL,STRAY,OTC,,2020-11-04,"900 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-10-29,2020-11-04,6 days
10695,*CORNFLAKE,ORG TABBY,,Neutered,2017-10-29,5.0,2021-04-16,NORMAL,STRAY,OTC,,2021-04-24,"300 BLK E ELEANOR LN, LONG BEACH, CA 90805",LONG BEACH,COMMUNITY CAT,,1,2021-04-16,2021-04-24,8 days
10696,*MONICA,TORTIE,,Spayed,2020-06-25,2.0,2020-10-29,NORMAL,STRAY,OTC,,2020-12-23,"1200 BLK E 23RD ST, SIGNAL HILL, CA 90755",LONG BEACH,ADOPTION,FOLBA,1,2020-10-29,2020-12-23,55 days
10697,*TERI,BRN TABBY,,Neutered,2020-05-30,2.0,2020-10-30,UNDER AGE/WEIGHT,STRAY,TRAP,,2020-11-18,"3300 BLK DAISY AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,1,2020-10-30,2020-11-18,19 days
10698,*,BLACK,,Female,2020-09-25,2.0,2020-11-04,NORMAL,STRAY,TRAP,,2020-11-04,"1000 BLK 1ST ST, LONG BEACH CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-11-04,2020-11-04,0 days
10699,MAGGIE,BLACK,,Female,2017-11-05,5.0,2020-11-05,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2020-11-30,"100 BLK RIVO ALTO CANAL, LONG BEACH, CA 90803",LONG BEACH,TRANSPORT,OTHER SHEL,1,2020-11-05,2020-11-30,25 days
10700,GRAYSON,GRAY TABBY,,Neutered,2017-11-06,5.0,2020-11-06,ILL SEVERE,STRAY,FIELD,,2020-11-06,"3600 BLK COUNTRY CLUB DR, LONG BEACH, CA 90807",LONG BEACH,RETURN TO OWNER,WALKIN,1,2020-11-06,2020-11-06,0 days
10701,*KNIGHTLY,BLACK,,Spayed,2020-08-22,2.0,2020-11-06,NORMAL,STRAY,FIELD,,2020-11-20,"1200 HOFFMAN AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WEB,1,2020-11-06,2020-11-20,14 days
10702,*MITTENS,BLACK,WHITE,Spayed,2020-08-24,2.0,2020-11-08,NORMAL,STRAY,OTC,,2020-12-05,"2000 BLK GRANADA AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WEB,1,2020-11-08,2020-12-05,27 days
10703,,BRN TABBY,WHITE,Unknown,2020-09-28,2.0,2020-09-28,NORMAL,STRAY,OTC,,2020-11-25,"900 BLK N PARK CIR, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-09-28,2020-11-25,58 days
10704,*SAPPHIRE,CALICO,,Spayed,2018-11-11,4.0,2020-11-11,NORMAL,STRAY,OTC,,2020-12-06,"900 BLK E NEW YORK, LONG BEACH CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2020-11-11,2020-12-06,25 days
10705,*SWEET POTATO,TORTIE,,Female,2020-09-11,2.0,2020-11-11,UNDER AGE/WEIGHT,STRAY,OTC,,2020-11-12,"12000 BLK DEL AMO BLVD, CERRITOS CA 90703",CERRITOS,RESCUE,CATPAWS,1,2020-11-11,2020-11-12,1 days
10706,,BLACK,WHITE,Male,2017-11-11,5.0,2020-11-11,INJURED  SEVERE,STRAY,FIELD,,2020-11-11,"1300 BLK DAWSON AVE, LONG BEACH, CA 90804",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2020-11-11,2020-11-11,0 days
10707,*CLYDE,BLACK,,Male,2020-09-29,2.0,2020-11-11,FRACTIOUS,STRAY,FIELD,,2020-11-21,"200 BLK E DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-11-11,2020-11-21,10 days
10708,*PICO RIVERA,BRN TABBY,WHITE,Spayed,2013-11-12,9.0,2020-11-12,ILL MILD,STRAY,OTC,,2020-12-03,"300 BLK HULA LN, LONG BEACH CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-11-12,2020-12-03,21 days
10709,*MARMALADE,ORG TABBY,,Neutered,2020-06-12,2.0,2020-11-12,NORMAL,STRAY,OTC,,2020-11-25,"1700 BLK W CAMERON ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,1,2020-11-12,2020-11-25,13 days
10710,*CREAM PUFF,ORG TABBY,,Neutered,2020-06-12,2.0,2020-11-12,NORMAL,STRAY,OTC,,2020-11-25,"1700 BLK W CAMERON ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,1,2020-11-12,2020-11-25,13 days
10711,*MINNIE OREO,BLACK,WHITE,Neutered,2020-10-13,2.0,2020-11-13,UNDER AGE/WEIGHT,STRAY,OTC,,2020-11-14,"1900 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,1,2020-11-13,2020-11-14,1 days
10712,*MARGOT,BLACK,,Spayed,2017-11-13,5.0,2020-12-15,INJURED  MILD,RETURN,RTF,,2021-01-21,"5300 E WARDLOW RD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WEB,1,2020-12-15,2021-01-21,37 days
10713,*,BLACK,,Male,2020-10-14,2.0,2020-11-14,UNDER AGE/WEIGHT,STRAY,OTC,,2020-11-19,"1500 BLK GAVIOTA AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,1,2020-11-14,2020-11-19,5 days
10714,*SNICKERDOODLE,FLAME PT,,Male,2020-09-16,2.0,2020-11-16,INJURED  MODERATE,STRAY,FIELD,,2020-11-19,"200 BLK E HULLETT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,1,2020-11-16,2020-11-19,3 days
10715,*BELLE,BLACK,WHITE,Spayed,2020-09-21,2.0,2020-11-21,NORMAL,STRAY,OTC,,2020-12-18,"1700 BLK XIMENO AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2020-11-21,2020-12-18,27 days
10716,*LITTLE LION,ORANGE,,Male,2020-08-21,2.0,2020-11-21,NORMAL,STRAY,OTC,,2020-11-21,"2100 BLK ROXANNE AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-11-21,2020-11-21,0 days
10717,*LARRY,BLACK,,Neutered,2020-11-01,2.0,2020-11-22,UNDER AGE/WEIGHT,STRAY,OTC,,2021-01-23,"200 GRANADA AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2020-11-22,2021-01-23,62 days
10718,,BLACK,,Unknown,2020-07-23,2.0,2020-11-23,INJURED  SEVERE,STRAY,FIELD,,2020-11-24,"13000 ESPINHEIRA DR, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,AT VET,0,2020-11-23,2020-11-24,1 days
10719,*CINNAMON,CREAM PT,WHITE,Neutered,2020-08-13,2.0,2020-11-28,NORMAL,STRAY,OTC,,2020-12-12,"1700 BLK E CHERRY AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WEB,1,2020-11-28,2020-12-12,14 days
10720,,BLACK,,Unknown,2020-10-30,2.0,2020-12-05,UNDER AGE/WEIGHT,STRAY,OTC,,2020-12-05,"4900 BLK OREGON AVE, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,1,2020-12-05,2020-12-05,0 days
10721,,SNOWSHOE,,Unknown,2010-12-05,12.0,2020-12-05,ILL SEVERE,STRAY,OTC,,2020-12-06,"4600 BLK E LAVANTE ST, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,AT VET,0,2020-12-05,2020-12-06,1 days
10722,*OFELION,BLACK,BROWN,Male,2020-09-10,2.0,2020-12-10,ILL MILD,STRAY,OTC,,2020-12-10,"1900 E 19TH ST, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2020-12-10,2020-12-10,0 days
10723,,ORANGE,WHITE,Female,2007-12-13,15.0,2020-12-13,ILL SEVERE,STRAY,FIELD,,2020-12-13,"6300 BLK CORONADO AVE, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,AT VET,0,2020-12-13,2020-12-13,0 days
10724,,BLACK,WHITE,Male,,,2020-12-18,ILL MODERATETE,STRAY,FIELD,,2020-12-19,"1900 E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,AT VET,0,2020-12-18,2020-12-19,1 days
10725,*SIMON,ORANGE,,Neutered,2020-09-29,2.0,2020-12-26,NORMAL,STRAY,OTC,,2020-12-29,"4900 BLK CLAIR DEL AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,CATPAWS,1,2020-12-26,2020-12-29,3 days
10726,OREO,BLACK,,Neutered,2015-12-31,7.0,2021-12-29,ILL MODERATETE,STRAY,FIELD,,2022-01-28,"900 BLK CEDAR AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WEB,1,2021-12-29,2022-01-28,30 days
10727,5,BLACK,WHITE,Unknown,,,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10728,DOVAH,BLACK,,Female,2019-01-07,4.0,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10729,3,BLACK,,Unknown,,,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10730,BLEU,BLACK,,Female,2019-01-07,4.0,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10731,1,BLACK,,Unknown,,,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10732,5,B-C PT,,Unknown,,,2021-01-07,NORMAL,OWNER SURRENDER,FIELD,,2021-01-07,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-01-07,2021-01-07,0 days
10733,*OLLIE,WHITE,ORANGE,Neutered,2019-01-10,4.0,2021-01-10,NORMAL,STRAY,OTC,,2021-01-14,"1200 BLK CEDAR AVE, LONG BEACH, CA 9013",LONG BEACH,ADOPTION,WEB,1,2021-01-10,2021-01-14,4 days
10734,THOMAS,GRAY TABBY,,Male,2019-01-11,4.0,2021-01-11,INJURED  SEVERE,STRAY,FIELD,,2021-01-11,"1800 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,MICROCHIP,1,2021-01-11,2021-01-11,0 days
10735,,ORG TABBY,,Neutered,2017-01-19,6.0,2021-01-19,INJURED  SEVERE,STRAY,OTC,,2021-01-19,"3000 BLK OREGON AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2021-01-19,2021-01-19,0 days
10736,*POTATO,BROWN,BLACK,Male,,,2021-01-22,NORMAL,STRAY,OTC,,2021-01-22,"7500 BLKE SPRING ST, LONG BEACH, CA 90815",LONG BEACH,RESCUE,CATPAWS,1,2021-01-22,2021-01-22,0 days
10737,*HENRY,ORANGE,,Neutered,2018-01-24,5.0,2021-01-23,ILL MILD,STRAY,TRAP,,2022-02-17,"12500 BLK BRANDO ST, CERRITOS CA 907",CERRITOS,ADOPTION,WEB,1,2021-01-23,2022-02-17,390 days
10738,*WANDA,BRN TABBY,,Spayed,2019-01-24,4.0,2021-01-23,FRACTIOUS,STRAY,TRAP,,2021-02-05,"1200 E 23RD ST ST, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,KITTYBUNGA,1,2021-01-23,2021-02-05,13 days
10739,*VISION,SEAL PT,,Neutered,2019-01-24,4.0,2021-01-23,FRACTIOUS,STRAY,TRAP,,2021-02-05,"1200 E 23RD ST, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,KITTYBUNGA,1,2021-01-23,2021-02-05,13 days
10740,*GANDALF,GRAY,,Male,2020-12-28,2.0,2021-01-28,UNDER AGE/WEIGHT,STRAY,OTC,,2021-01-28,"7200 BLK E CARSON ST, LONG BEACH, CA 90808",LONG BEACH,TRANSFER,SPCALA,1,2021-01-28,2021-01-28,0 days
10741,*STAR LORD,GRAY TABBY,,Neutered,2016-01-28,7.0,2021-01-28,FRACTIOUS,STRAY,OTC,,2021-02-05,"1200 BLK E 23RD ST, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,KITTYBUNGA,1,2021-01-28,2021-02-05,8 days
10742,*MARIO,GRAY,WHITE,Neutered,2019-02-01,4.0,2021-02-01,INJURED  MODERATE,STRAY,FIELD,,2021-03-10,"2200 BLK WALNUT AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2021-02-01,2021-03-10,37 days
10743,*MARIO,GRAY,WHITE,Neutered,2019-02-01,4.0,2021-03-10,NORMAL,RETURN,RTF,,2021-05-26,"2200 BLK WALNUT AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,WEB,1,2021-03-10,2021-05-26,77 days
10744,,BLACK,WHITE,Male,2016-02-09,7.0,2021-02-09,INJURED  SEVERE,STRAY,FIELD,,2021-02-09,"2000 BLK W 14TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2021-02-09,2021-02-09,0 days
10745,A653864*KOKO BELLE,GRAY,WHITE,Spayed,2019-02-09,4.0,2021-02-09,NORMAL,STRAY,OTC,,2021-02-16,"400 BLK OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2021-02-09,2021-02-16,7 days
10746,A653896*KINGSTON,BLACK,,Neutered,2020-02-10,3.0,2021-02-10,NORMAL,STRAY,OTC,,2021-02-16,"400 BLK OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2021-02-10,2021-02-16,6 days
10747,A654157*KINSLEY,BLACK,WHITE,Spayed,2020-02-15,3.0,2021-02-15,NORMAL,STRAY,OTC,,2021-02-23,"400 OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2021-02-15,2021-02-23,8 days
10748,*PEACHES,LYNX PT,,Spayed,2020-06-25,2.0,2021-02-25,NORMAL,WELFARE SEIZED,POLICE,,2021-03-11,"600 BLK W 7TH ST, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WEB,1,2021-02-25,2021-03-11,14 days
10749,*BASIL,BRN TABBY,WHITE,Spayed,2020-08-10,2.0,2021-03-10,NORMAL,STRAY,OTC,,2021-03-17,"19500 BLK ALIDA AVE, CERRITOS CA 90703",CERRITOS,ADOPTION,WEB,1,2021-03-10,2021-03-17,7 days
10750,MURPHY,BLACK,WHITE,Neutered,2021-01-05,2.0,2021-03-06,NORMAL,STRAY,OTC,,2021-03-12,"200 BLK PARK AVE, LONG BEACH CA 90803",LONG BEACH,ADOPTION,WEB,1,2021-03-06,2021-03-12,6 days
10751,,ORG TABBY,,Unknown,2016-09-07,6.0,2021-03-07,ILL MILD,STRAY,OTC,,2021-03-15,"2400 BLK BRAYTON AVE, SIGNAL HILL CA 90755",SIGNAL HILL,EUTHANASIA,ILL SEVERE,0,2021-03-07,2021-03-15,8 days
10752,*SUNNY,ORG TABBY,,Neutered,2019-03-13,4.0,2021-03-13,INJURED  SEVERE,STRAY,OTC,,2021-03-19,"600 BLK CHESTNUT AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WEB,1,2021-03-13,2021-03-19,6 days
10753,*TERRI,WHITE,BLACK,Spayed,2015-03-13,8.0,2021-03-13,NORMAL,STRAY,OTC,,2021-06-03,"1900 BLK E DEL AMO BLVD, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2021-03-13,2021-06-03,82 days
10754,A655028*ELVIRA,BLACK,,Spayed,2019-03-14,4.0,2021-03-14,NORMAL,STRAY,OTC,,2021-03-18,"4800 BLK PEPPERWOOD AVE, LONG BEACH, CA 90808",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2021-03-14,2021-03-18,4 days
10755,*OWLITA,TORTIE,,Spayed,2013-03-17,10.0,2021-03-30,NORMAL,RETURN,RTF,,2021-04-24,"850 BLK DAWSON AVE, LONG BEACH CA 90804",LONG BEACH,TRANSFER,OTHER RESC,1,2021-03-30,2021-04-24,25 days
10756,BLACKY,BLACK,,Neutered,2020-07-23,2.0,2021-03-22,NORMAL,STRAY,OTC,,2021-03-24,"1000 E ARTESIA BLVD, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,1,2021-03-22,2021-03-24,2 days
10757,LEVI,CHOC PT,,Neutered,2019-03-24,4.0,2021-04-09,NORMAL,RETURN,ADOPTION,BITES,2021-04-22,"700 BLK TULAROSA DR, LOS ANGELES, CA 90026",LA CITY,TRANSFER,SPCALA,1,2021-04-09,2021-04-22,13 days
10758,,ORG TABBY,,Female,2021-03-03,2.0,2021-03-24,UNDER AGE/WEIGHT,STRAY,OTC,,2021-03-24,"5000 BLK ORANGE AVE, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,1,2021-03-24,2021-03-24,0 days
10759,*,BLACK,WHITE,Male,2021-03-22,2.0,2021-03-27,UNDER AGE/WEIGHT,STRAY,OTC,,2021-03-27,"20100 BLK RHODA CIR, CERRITOS CA 90703",CERRITOS,RESCUE,SBACC,1,2021-03-27,2021-03-27,0 days
10760,*PUDDIN,BLACK,WHITE,Neutered,2020-09-01,2.0,2021-04-01,ILL MILD,STRAY,OTC,,2021-06-17,"W ANAHEIM ST /  HARBOR AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2021-04-01,2021-06-17,77 days
10761,,GRAY,,Male,2021-04-01,2.0,2021-04-05,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-04-06,"700 TEMPLE AVE, LONG BEACH,, CA 90804",LONG BEACH,RESCUE,LITTLELION,1,2021-04-05,2021-04-06,1 days
10762,GREY 4,GRAY TABBY,WHITE,Unknown,2021-03-06,2.0,2021-04-06,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-04-06,"11900 SHASTA CIR, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2021-04-06,2021-04-06,0 days
10763,FANNIE,CALICO,,Unknown,2021-03-23,2.0,2021-04-07,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-04-07,"3300 BLK E 4TH ST, LONG BEACH, CA 90814",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-04-07,2021-04-07,0 days
10764,FLETCHER,ORANGE,WHITE,Unknown,2021-03-23,2.0,2021-04-07,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-04-07,"3300 BLK E 4TH ST, LONG BEACH, CA 90814",LONG BEACH,RESCUE,LITTLEPAWS,1,2021-04-07,2021-04-07,0 days
10765,,BLACK,,Male,2021-03-09,2.0,2021-04-09,UNDER AGE/WEIGHT,STRAY,OTC,,2021-04-10,"300 BLK E DAYMAN ST, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,1,2021-04-09,2021-04-10,1 days
10766,*THUMPER,BLACK,,Neutered,2020-10-22,2.0,2021-04-10,NORMAL,OWNER SURRENDER,FIELD,TOO MANY,2021-04-24,"1500 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WEB,1,2021-04-10,2021-04-24,14 days
10767,WAGS,BLACK,,Neutered,2020-10-15,2.0,2021-04-10,NORMAL,OWNER SURRENDER,FIELD,TOO MANY,2021-12-15,"1500 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2021-04-10,2021-12-15,249 days
10768,*PINKY,BRN TABBY,,Spayed,2021-03-12,2.0,2021-04-12,UNDER AGE/WEIGHT,STRAY,FIELD,,2022-04-13,"3500 THOR AVE, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,WEB,1,2021-04-12,2022-04-13,366 days
